Período;Região;Instituição;Localização Geográfica;Nº Atendimentos em Urgência SU Triagem Manchester -Vermelha;Nº Atendimentos em Urgência SU Triagem Manchester -Laranja;Nº Atendimentos em Urgência SU Triagem Manchester -Amarela;Nº Atendimentos em Urgência SU Triagem Manchester -Verde;Nº Atendimentos em Urgência SU Triagem Manchester -Azul;Nº Atendimentos em Urgência SU Triagem Manchester -Branca;Nº Atendimentos s\ Triagem Manchester
2024-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, EPE;38.568838, -7.903064;119;5590;12121;11704;859;343;442
2024-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;97;2946;12960;12912;312;617;
2024-04;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;41;1626;13556;8059;54;404;65
2024-05;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, EPE;39.822737, -7.499876;43;1917;14824;13004;562;842;47
2024-05;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, EPE;38.529351, -8.881073;174;6920;21555;12906;419;1606;3467
2024-05;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309943471486, -7.0;153;3775;20676;15844;1125;788;43
2024-05;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;284;10726;31556;58384;1861;1869;898
2024-05;Região de Saúde do Centro;Unidade Local de Saúde de Dão-Lafões, EPE;40.6509, -7.91039;211;7473;27731;20930;796;2914;7474
2024-05;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga, EPE;40.9295, -8.54567;278;10197;46829;29200;942;611;196
2024-05;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;120;5648;17921;9342;622;522;3733
2024-05;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;279;4099;30193;21155;1627;354;48717
2024-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, EPE;38.568838, -7.903064;149;7089;15236;14631;1087;439;486
2024-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.802452, -6.768198;142;3611;25554;12377;369;1648;93
2024-06;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309943471486, -7.0;180;4463;25128;19069;1299;921;296
2024-06;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;411;8405;39226;29308;912;2041;443
2024-06;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, EPE;41.533438, -8.616604;53;2125;12702;17837;1017;341;23
2024-06;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;41.562328338623, -8.3;450;8826;50462;42796;596;4129;806
2024-06;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, EPE;40.217426, -8.410075;813;22367;71205;33492;1330;4594;14746
2024-06;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;38.7084, -9.21711;131;5728;23940;30011;1440;1926;4442
2024-06;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, EPE;38.7500648498535, -9.0;395;10760;40724;39484;2406;1225;1262
2024-06;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE;41.1254463195801, -8.0;232;7074;50758;27092;984;2473;1697
2024-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.0146, -7.86863;179;5879;31117;21613;740;432;292
2024-06;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;54;2488;20665;12348;76;607;100
2024-07;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309943471486, -7.0;211;5180;29842;22295;1459;1080;74
2024-07;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;41.383183, -8.758784;153;3514;17419;16937;699;1;1192
2024-07;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, EPE;38.821769, -9.176301;189;7824;35328;20460;814;764;959
2024-07;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;167;7881;25539;13256;847;699;5352
2024-07;Região de Saúde Norte;Unidade Local de Saúde de São João, EPE;41.1833, -8.60193;591;14380;56070;25276;3947;0;56394
2024-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, EPE;38.568838, -7.903064;211;9894;21853;20396;1469;635;601
2024-08;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;539;10996;51890;37828;1195;2786;611
2024-08;Região de Saúde do Centro;Unidade Local de Saúde de Dão-Lafões, EPE;40.6509, -7.91039;346;11795;45585;32597;1639;4855;10512
2024-08;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;487;6372;48886;34838;3053;527;73362
2024-08;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;371;10396;55335;47957;816;1938;31
2024-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.0146, -7.86863;218;7750;41337;27960;990;597;332
2024-08;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;395;9816;48093;39071;976;2615;276
2024-09;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;275;13247;39014;57293;837;168;1
2024-09;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;41.562328338623, -8.3;658;13148;75059;62659;952;5925;1190
2024-09;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, EPE;38.7500648498535, -9.0;641;15708;61841;59344;3696;1843;1920
2024-09;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;532;7077;54827;39056;3579;603;81187
2024-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;204;6688;30172;29821;831;1564;
2024-09;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho, EPE;38.6527214050293, -9.0;243;7546;45086;42766;1700;3298;6135
2024-09;Região de Saúde LVT;Unidade Local de Saúde do Oeste, EPE;39.4055519104004, -9.0;351;13231;55688;55968;1924;3238;734
2024-09;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa, EPE;41.1971153671548, -8.0;714;21599;67236;42740;1180;12917;11317
2024-10;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, EPE;38.529351, -8.881073;284;12765;43990;26313;874;3285;6877
2024-10;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;663;13500;64545;46522;1486;3595;752
2024-10;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;636;13618;45504;53829;3921;1497;1755
2024-10;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, EPE;40.217426, -8.410075;1339;35373;117963;55982;2449;7973;24171
2024-10;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, EPE;38.821769, -9.176301;259;10667;49245;28668;1155;1041;1253
2024-11;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;341;16542;48211;70596;1088;218;1
2024-11;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;261;12130;40394;20656;1296;1134;8605
2024-11;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;641;8584;67849;47750;4572;742;100565
2024-11;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;471;14034;74956;63878;1112;2722;42
2024-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.0146, -7.86863;278;10348;56379;37336;1389;894;415
2024-11;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;98;4690;37777;21460;132;1063;163
2024-11;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;358;11566;61862;42648;1679;2029;12
2024-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.039936, -8.731693;97;4205;20443;20664;220;1298;48288
2024-11;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.802452, -6.768198;288;7692;57712;26750;751;3819;216
2024-11;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa, EPE;41.1971153671548, -8.0;879;26166;84525;51600;1473;15825;13871
2024-12;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, EPE;39.822737, -7.499876;118;4556;34578;29745;1234;2212;161
2024-12;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;350;16105;55681;39258;1258;1303;307
2024-12;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, EPE;41.533438, -8.616604;105;4313;25856;33267;1560;629;52
2024-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;282;13243;44342;21734;1358;1229;9315
2024-12;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE;41.1254463195801, -8.0;469;13905;103829;55075;2163;4581;2482
2024-12;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;387;12715;67323;47172;1795;2450;7
2024-01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309943471486, -7.0;36;885;3999;3143;187;137;9
2024-01;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;32;1331;3864;3078;116;68;10
2024-01;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, EPE;41.533438, -8.616604;12;353;1932;2714;209;76;3
2024-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga, EPE;40.9295, -8.54567;65;2247;9493;6913;233;253;45
2024-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;37;1154;3196;1570;109;108;647
2024-01;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE;41.310331, -7.760103;50;1736;10886;5001;91;544;0
2024-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;32;777;3286;3209;76;154;9
2024-01;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;12;453;3308;1718;16;102;6
2024-01;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;41;1076;5477;3683;165;192;41
2024-01;Região de Saúde LVT;Unidade Local de Saúde do Oeste, EPE;39.4055519104004, -9.0;41;1593;5670;5802;217;318;76
2025-01;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;81;1464;7236;3234;137;332;67
2025-01;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;61;1493;5390;3542;111;304;138
2025-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga, EPE;40.9295, -8.54567;59;2147;9702;3002;135;22;15
2025-01;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, EPE;38.821769, -9.176301;23;832;3865;2630;109;9;988
2025-01;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, EPE;38.7500648498535, -9.0;68;2024;7070;4761;207;221;275
2025-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;59;1340;6427;3766;82;211;2
2024-02;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;41.562328338623, -8.3;153;2956;15542;13250;179;1324;187
2024-02;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;38.7084, -9.21711;63;1957;7431;8989;430;625;1344
2024-02;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, EPE;38.821769, -9.176301;52;2336;9711;5592;268;274;204
2024-02;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;60;2151;6551;3279;248;174;1314
2024-02;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, EPE;37.024668, -7.928949;181;7656;23524;21788;872;2231;365
2024-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.0146, -7.86863;59;1819;9442;6897;235;137;104
2024-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.039936, -8.731693;10;676;3048;3431;45;213;16853
2024-02;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.802452, -6.768198;56;1405;9692;4776;135;590;45
2024-02;Região de Saúde LVT;Unidade Local de Saúde do Oeste, EPE;39.4055519104004, -9.0;81;3010;11115;11849;429;609;137
2024-02;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa, EPE;41.1971153671548, -8.0;184;4424;12595;7133;286;2692;2432
2024-03;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, EPE;38.529351, -8.881073;114;4160;11896;7177;235;984;1965
2024-03;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309943471486, -7.0;101;2210;11742;8919;612;478;20
2024-03;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;38.7084, -9.21711;79;2955;11559;14313;692;952;2109
2024-03;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, EPE;38.821769, -9.176301;84;3633;14895;8860;399;363;328
2024-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;75;3334;10159;5289;369;315;2082
2024-03;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, EPE;38.7500648498535, -9.0;202;5537;18697;17996;1085;609;568
2024-03;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE;41.310331, -7.760103;;;;;;;
2024-03;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, EPE;37.024668, -7.928949;260;12040;36613;33754;1287;3454;579
2024-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.0146, -7.86863;87;2856;14530;10498;360;204;147
2024-04;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, EPE;39.822737, -7.499876;29;1519;11456;9859;438;637;34
2024-04;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, EPE;40.217426, -8.410075;539;14825;45649;22053;908;3066;9652
2024-04;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga, EPE;40.9295, -8.54567;221;8162;37277;24269;794;587;182
2024-04;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, EPE;37.024668, -7.928949;356;16395;50565;46108;1674;4653;925
2024-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;201;5081;25914;23093;414;897;19
2024-04;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;128;4290;23064;16879;819;709;188
2024-04;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;206;4950;22872;18468;475;1150;136
2024-04;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa, EPE;41.1971153671548, -8.0;337;9445;28258;17193;564;5649;4731
2024-05;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;41.383183, -8.758784;113;2465;12142;12557;517;1;1139
2024-05;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, EPE;40.636332, -8.654388;285;9460;40099;21086;1156;3313;176
2024-05;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;360;7039;32840;24772;777;1751;359
2024-05;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, EPE;41.533438, -8.616604;48;1779;10374;14936;905;307;18
2024-05;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, EPE;38.821769, -9.176301;134;5836;25543;15223;603;598;689
2024-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave, EPE;41.488574, -8.338685;79;4857;26188;27207;737;4215;352
2024-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;246;6409;33278;29458;494;1158;19
2024-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.039936, -8.731693;43;1827;8678;9633;123;558;21734
2024-05;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave, EPE;41.3422317504883, -8.0;136;4931;28266;20050;347;1298;5
2024-05;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;242;6254;29352;23990;618;1498;185
2024-06;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, EPE;38.529351, -8.881073;197;8152;25744;15242;493;1890;3954
2024-06;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;352;12720;37816;69703;2156;2305;1025
2024-06;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga, EPE;40.9295, -8.54567;327;12204;55894;33692;1081;638;224
2024-06;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE;41.310331, -7.760103;236;9585;70167;32081;767;3288;5
2024-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, EPE;38.568838, -7.903064;174;8519;18635;17580;1269;535;574
2024-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;139;4517;20089;19951;516;;1008
2024-06;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;185;6266;35678;25429;1216;1052;301
2024-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.039936, -8.731693;51;2219;10534;11538;137;671;26195
2024-06;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;287;7473;35688;29158;727;1825;213
2024-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.802452, -6.768198;167;4310;30966;14669;431;2028;115
2024-06;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa, EPE;41.1971153671548, -8.0;500;14423;44084;26993;818;8464;7686
2024-07;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, EPE;38.529351, -8.881073;219;9353;30321;18052;572;2233;4808
2024-07;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga, EPE;40.9295, -8.54567;382;14298;65359;37810;1208;666;256
2024-07;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;424;5615;42398;29983;2489;466;64830
2024-07;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave, EPE;41.488574, -8.338685;111;6610;36814;38453;1078;6003;683
2024-07;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;330;8993;47553;41402;703;1634;29
2024-07;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho, EPE;38.6527214050293, -9.0;193;6029;35344;33900;1405;2644;4726
2024-07;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;212;7192;41456;29446;1448;1246;364
2024-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.039936, -8.731693;55;2622;12725;13523;164;797;30736
2024-07;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;338;8708;42004;34155;850;2208;252
2024-08;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;502;10876;36584;44054;3382;1049;459
2024-08;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, EPE;41.533438, -8.616604;66;2841;16898;23907;1213;447;28
2024-08;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;41.562328338623, -8.3;590;11711;67274;56725;851;5317;1079
2024-08;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;38.7084, -9.21711;165;7216;31395;39114;1961;2614;5982
2024-08;Região de Saúde Norte;Unidade Local de Saúde de São João, EPE;41.1833, -8.60193;668;16471;64196;29271;4642;0;62659
2024-08;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho, EPE;38.6527214050293, -9.0;223;6710;39854;38249;1588;2983;5632
2024-08;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;234;8047;46782;33052;1679;1429;409
2024-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.039936, -8.731693;66;3062;14827;15379;178;946;35430
2024-08;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave, EPE;41.3422317504883, -8.0;218;7651;44003;31076;579;2080;6
2024-09;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, EPE;38.529351, -8.881073;258;11525;39209;22965;752;2875;6119
2024-09;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;41.383183, -8.758784;192;4459;22265;21147;887;2;1240
2024-09;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, EPE;40.217426, -8.410075;1199;32035;106164;49583;2133;7180;21900
2024-09;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;208;9915;32524;17103;1131;936;7010
2024-09;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave, EPE;41.488574, -8.338685;147;8253;46470;48289;1441;7667;823
2024-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.039936, -8.731693;72;3408;16626;16941;191;1072;39401
2024-10;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;305;14923;43740;64165;976;195;1
2024-10;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, EPE;39.822737, -7.499876;94;3840;29016;24796;1046;1787;87
2024-10;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, EPE;40.2776794433594, -7.0;116;3849;36707;16115;203;2742;56
2024-10;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;579;20975;63464;114909;3779;3940;2181
