Período;Região;ULS;Entidade;Localização Geográfica;Nº Notícias Nascimento;Nº de Nascer Utente
2016-03;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;61;0.0
2016-03;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;111;0.0
2016-03;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;112;89.0
2016-03;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;221;55.0
2016-03;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;67;14.0
2016-03;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;0;0.0
2016-04;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;0;30.0
2016-04;Região de Saúde Norte;;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;0;123.0
2016-04;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;60;18.0
2016-04;Região de Saúde do Centro;;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;43;0.0
2016-04;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;127;76.0
2016-04;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;179;0.0
2016-04;Região de Saúde LVT;;Hospital Vila Franca de Xira, PPP;38.952565, -8.992398;90;77.0
2016-04;Região de Saúde LVT;;Hospital Garcia de Orta, EPE;38.673379, -9.17602;0;0.0
2016-05;Região de Saúde Norte;;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;0;137.0
2016-05;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;2;118.0
2016-05;Região de Saúde LVT;;Hospital Prof. Doutor Fernando Fonseca, EPE;38.744564, -9.246391;0;17.0
2016-05;Região de Saúde LVT;;Hospital Garcia de Orta, EPE;38.673379, -9.17602;0;0.0
2016-05;Região de Saúde do Centro;;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;34;23.0
2016-05;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;154;122.0
2016-05;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;36;0.0
2016-05;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;63;0.0
2016-05;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;7;0.0
2016-05;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;2;0.0
2016-05;Região de Saúde Norte;;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;256;254.0
2016-06;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;174;99.0
2016-06;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;115;91.0
2016-06;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;5;28.0
2016-06;Região de Saúde do Centro;;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;42;35.0
2016-06;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;3;32.0
2016-06;Região de Saúde do Centro;;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;171;27.0
2016-07;Região de Saúde LVT;;Hospital Prof. Doutor Fernando Fonseca, EPE;38.744564, -9.246391;0;0.0
2016-07;Região de Saúde Norte;;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;66;53.0
2016-07;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;128;90.0
2016-07;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;291;104.0
2016-07;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;184;70.0
2016-07;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;124;84.0
2016-07;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;119;32.0
2016-08;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;119;113.0
2016-08;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;128;75.0
2016-08;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;24;0.0
2016-08;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;34;32.0
2016-08;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;97;1.0
2016-08;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;291;116.0
2016-08;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;50;0.0
2016-08;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;55;121.0
2016-09;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;149;73.0
2016-09;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;227;5.0
2016-09;Região de Saúde LVT;;Hospital Vila Franca de Xira, PPP;38.952565, -8.992398;122;87.0
2016-09;Região de Saúde LVT;;Hospital Prof. Doutor Fernando Fonseca, EPE;38.744564, -9.246391;0;0.0
2016-09;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;15;39.0
2016-09;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;339;105.0
2016-10;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;182;6.0
2016-10;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;153;91.0
2016-10;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;88;127.0
2016-10;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;124;0.0
2016-10;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;12;0.0
2016-10;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;147;144.0
2016-10;Região de Saúde LVT;;Hospital Prof. Doutor Fernando Fonseca, EPE;38.744564, -9.246391;0;0.0
2016-11;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;183;25.0
2016-11;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;22;20.0
2016-11;Região de Saúde Norte;;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;275;278.0
2016-11;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;51;48.0
2016-11;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, PPP;38.821342, -9.176377;65;12.0
2016-11;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;25;60.0
2016-11;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;241;110.0
2016-12;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;88;22.0
2016-12;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;34;23.0
2016-12;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;169;121.0
2016-12;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;1;0.0
2016-12;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;23;43.0
2017-01;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;140;55.0
2017-01;Região de Saúde LVT;;Hospital Vila Franca de Xira, PPP;38.952565, -8.992398;144;6.0
2017-01;Região de Saúde do Centro;;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;42;38.0
2017-01;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;48;49.0
2017-01;Região de Saúde LVT;;Hospital Garcia de Orta, EPE;38.673379, -9.17602;1;0.0
2017-01;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;109;2.0
2017-01;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;221;176.0
2017-01;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;37;15.0
2017-01;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;25;23.0
2017-01;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;188;179.0
2017-01;Região de Saúde LVT;;Hospital Distrital de Santarém, EPE;39.241184, -8.6958;91;29.0
2017-01;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;185;14.0
2017-01;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, PPP;38.821342, -9.176377;124;19.0
2017-01;Região de Saúde Norte;;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;266;263.0
2017-02;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;3;0.0
2017-02;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;247;91.0
2017-02;Região de Saúde Norte;;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;88;0.0
2017-02;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;159;144.0
2017-02;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;189;3.0
2017-02;Região de Saúde LVT;;Hospital Distrital de Santarém, EPE;39.241184, -8.6958;81;17.0
2017-02;Região de Saúde LVT;;Hospital Prof. Doutor Fernando Fonseca, EPE;38.744564, -9.246391;5;0.0
2017-02;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;191;153.0
2017-03;Região de Saúde Norte;;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;73;60.0
2017-03;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;117;29.0
2017-03;Região de Saúde do Centro;;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;322;322.0
2017-03;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;162;173.0
2017-03;Região de Saúde do Centro;;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;145;106.0
2017-03;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;47;50.0
2017-03;Região de Saúde do Centro;;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;45;33.0
2017-03;Região de Saúde LVT;;Hospital Prof. Doutor Fernando Fonseca, EPE;38.744564, -9.246391;5;0.0
2017-03;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;187;177.0
2017-04;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;33;10.0
2017-04;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;106;73.0
2017-05;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;101;69.0
2017-05;Região de Saúde Norte;;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;1;121.0
2017-05;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;169;134.0
2017-05;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1831056, -8.6010593;110;94.0
2017-05;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;278;22.0
2017-05;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;197;131.0
2017-05;Região de Saúde Norte;;Hospital de Braga, PPP;41.567781, -8.399268;146;13.0
2017-05;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;75;0.0
2017-05;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;195;1.0
2017-05;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;27;0.0
2017-05;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;165;177.0
2017-05;Região de Saúde LVT;;Hospital Vila Franca de Xira, PPP;38.952565, -8.992398;124;0.0
2017-06;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;263;114.0
2017-06;Região de Saúde do Centro;;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;363;310.0
2017-06;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;16;156.0
2017-06;Região de Saúde Norte;;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;282;238.0
2017-06;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;33;53.0
2017-06;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;117;81.0
2017-06;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;40;5.0
2017-06;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;88;38.0
2017-06;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.1831056, -8.6010592;98;83.0
2017-06;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;30;27.0
2017-07;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;26;51.0
2017-07;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;170;42.0
2017-07;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1831056, -8.6010593;105;67.0
2017-07;Região de Saúde Norte;;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;115;88.0
2017-07;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;28;0.0
2017-07;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010595;198;155.0
2017-07;Região de Saúde Norte;;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;0;128.0
2017-08;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;28;0.0
2017-08;Região de Saúde LVT;;Hospital Distrital de Santarém, EPE;39.241184, -8.6958;110;2.0
2017-08;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;124;64.0
2017-08;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;130;127.0
2017-08;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;147;122.0
2017-08;Região de Saúde do Centro;;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098212;365;300.0
2017-08;Região de Saúde LVT;;Hospital Vila Franca de Xira, PPP;38.952565, -8.992398;105;0.0
2017-09;Região de Saúde Norte;;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;326;66.0
2017-09;Região de Saúde do Centro;;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098213;349;314.0
2017-09;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;134;58.0
2017-09;Região de Saúde Norte;;Hospital de Braga, PPP;41.567781, -8.399268;224;14.0
2017-10;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258494;90;79.0
2017-10;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;186;188.0
2017-10;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;109;69.0
2017-10;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;14;33.0
2017-11;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;219;204.0
2017-11;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;156;130.0
2017-11;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1831056, -8.6010593;117;75.0
2017-11;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;46;29.0
2017-11;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;330;145.0
2017-11;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;42;73.0
2017-11;Região de Saúde LVT;;Hospital Vila Franca de Xira, PPP;38.952565, -8.992398;152;0.0
2017-11;Região de Saúde Norte;;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;0;125.0
2017-12;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;93;67.0
2017-12;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;25;0.0
2017-12;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;271;45.0
2017-12;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258496;77;54.0
2017-12;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;124;43.0
2017-12;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;119;44.0
2018-01;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;13;30.0
2018-01;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;157;1.0
2018-01;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;37;63.0
2018-01;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;143;31.0
2018-01;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;67;0.0
2018-01;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;293;118.0
2018-01;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;152;145.0
2018-01;Região de Saúde LVT;;Hospital Vila Franca de Xira, PPP;38.952565, -8.992398;134;1.0
2018-01;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;124;87.0
2018-01;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;27;3.0
2018-01;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;107;76.0
2018-02;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;103;51.0
2018-02;Região de Saúde Norte;;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;92;84.0
2018-02;Região de Saúde Norte;;Hospital de Braga, PPP;41.567781, -8.399268;120;16.0
2018-03;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;55;0.0
2018-03;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;60;73.0
2018-03;Região de Saúde Norte;;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;71;70.0
2018-03;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, PPP;38.821342, -9.176377;69;49.0
2018-03;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;27;6.0
2018-03;Região de Saúde do Centro;;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098219;297;310.0
2018-03;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734795;32;27.0
2018-03;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;98;71.0
2018-03;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;162;149.0
2018-03;Região de Saúde Norte;;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;7;105.0
2018-04;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;134;100.0
2018-04;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;145;140.0
2018-04;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;155;143.0
2018-04;Região de Saúde Norte;;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;74;52.0
2018-05;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;122;137.0
2018-05;Região de Saúde Norte;;Hospital de Braga, PPP;41.567781, -8.399268;257;26.0
2018-05;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;46;5.0
2018-05;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;90;81.0
2018-05;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1831056, -8.6010593;120;59.0
2018-05;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.1831056, -8.6010592;112;98.0
2018-05;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;188;201.0
2018-06;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;104;70.0
2018-06;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;53;5.0
2018-06;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263851;34;0.0
2018-06;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;259;120.0
2018-06;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;108;109.0
2018-06;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;125;145.0
2018-07;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;41;31.0
2018-07;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;141;137.0
2018-07;Região de Saúde do Centro;;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827435;184;95.0
2018-07;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263852;44;0.0
2018-07;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;308;166.0
2018-07;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592393;85;86.0
2018-08;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;291;16.0
2018-08;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.1831056, -8.6010592;147;137.0
2018-08;Região de Saúde Norte;;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;87;77.0
2018-08;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;135;134.0
2018-08;Região de Saúde Norte;;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;0;125.0
2018-08;Região de Saúde do Centro;;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;161;75.0
2018-08;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;188;201.0
2018-09;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;191;160.0
